unix_time,readable_time_utc0,t0,t1,t0_fees,t1_fees,t0_t1_name,total_value,unclaimed,rate
1761298207,2025-10-24 09:30:07,67892.81053867223,52494.01548644215,10.343665297219452,8.61317745377858,Aster/Tether USD,128462.95196974362,20.187263807463975,1.1189540671619276
1761300008,2025-10-24 10:00:08,68365.97166696786,51965.81481542282,11.614832597396726,9.13320918345215,Aster/Tether USD,128097.9027573173,22.067442913690137,1.1135962246358146
1761301807,2025-10-24 10:30:07,70054.00034682943,50101.82774922616,16.581198033066272,11.438011968291509,Aster/Tether USD,126798.7705560064,29.591539117544993,1.0948260260236726
1761303610,2025-10-24 11:00:10,69608.07259567567,50591.168218617044,16.59821775322715,12.290649203678282,Aster/Tether USD,127143.59254941414,30.54476487156349,1.0997635974703432
1761305407,2025-10-24 11:30:07,70250.02074372626,49887.41499906128,17.973276729431632,12.598442336414514,Aster/Tether USD,126652.98012073257,32.23870337286725,1.0927479352883593
1761307209,2025-10-24 12:00:09,70248.21552447628,49889.38768083798,19.405526294816475,14.160349445038044,Aster/Tether USD,126652.98015290112,35.365698236882714,1.0927479352883593
1761309007,2025-10-24 12:30:07,69245.40309910475,50990.76332200967,20.60553043354524,17.3535778580593,Aster/Tether USD,127418.97011929832,40.09651342721019,1.1037296827906946
1761310808,2025-10-24 13:00:08,67521.72160605356,52910.04485536797,38.79672107489965,41.18502958707581,Aster/Tether USD,128751.38572776126,84.76204862310752,1.1232139683119964
1761312607,2025-10-24 13:30:07,68571.3623201819,51737.31758901884,42.34691797973988,43.15174905240026,Aster/Tether USD,127937.94634381008,90.21019541688241,1.1112602430003624
1761314408,2025-10-24 14:00:08,69631.89226475348,50564.974236211405,48.16606621975194,47.57716854900524,Aster/Tether USD,127128.28114494926,100.53786214250879,1.0995436777393588
1761316209,2025-10-24 14:30:09,72380.91619154488,47583.433072139895,56.38803336304578,51.368890360786665,Aster/Tether USD,125010.72337598752,111.68827920783745,1.0697196771998339
1761318009,2025-10-24 15:00:09,72098.3855536853,47886.1133865358,57.62292613573787,53.20802266033357,Aster/Tether USD,125227.4170660253,115.02122686650037,1.072718939342966
1761319811,2025-10-24 15:30:11,71546.4866531923,48479.82572664697,62.027220907783644,58.93776420304316,Aster/Tether USD,125652.35973781068,125.84248641990015,1.0786348515650053
1761321615,2025-10-24 16:00:15,73365.537573926,46535.17562401776,65.6563894762236,59.499955789685416,Aster/Tether USD,124258.19127332198,129.05594563839801,1.0593940727414075
1761323407,2025-10-24 16:30:07,72893.35440537939,47036.603805364866,68.13071287923833,62.97523740262264,Aster/Tether USD,124623.17453825925,135.49252539146357,1.064384694130205
1761325209,2025-10-24 17:00:09,72848.56571307371,47084.28797659764,69.3049783255579,64.302496996691,Aster/Tether USD,124654.20652290955,138.0991664430277,1.0648105118751965
1761327007,2025-10-24 17:30:07,71901.4178684328,48097.630669166865,69.96999779817068,66.74134081818022,Aster/Tether USD,125382.05004266338,141.9497416217834,1.0748664166110558
1761328809,2025-10-24 18:00:09,71895.76465615479,48103.70757741391,70.31876457815923,67.12698463398736,Aster/Tether USD,125389.77833717936,142.7178214644801,1.074973903252717
1761330606,2025-10-24 18:30:06,71352.54225565177,48689.23829007914,70.97612357557388,68.83366149239566,Aster/Tether USD,125806.65011055852,145.54424219725087,1.0807941719045193
1761332408,2025-10-24 19:00:08,71006.5813749887,49063.79690014026,71.45853547749559,69.99335495076404,Aster/Tether USD,126068.65510539003,147.48834605503384,1.0844749418167863
1761334207,2025-10-24 19:30:07,69971.6323284848,50192.049938338554,71.9034635530477,72.40295334406125,Aster/Tether USD,126860.12096043286,151.18773607629802,1.0957021934570967
1761336008,2025-10-24 20:00:08,69537.2006250345,50669.14167441208,74.07989677343684,75.6227198130563,Aster/Tether USD,127197.17179147729,157.15013996211619,1.1005336629774236
